Report,description
Car crushed by tractor in crash caught on CCTV at RAF Mildenhall,Police say nobody was seriously injured in the incident outside an airbase.
PDC World Championship: Michael van Gerwen to play Michael Smith in 2023 final,Michael van Gerwen and Michael Smith will contest the PDC World Darts Championship final after semi-final wins on Monday.
Nicola Bulley: Dive team pull out as search extended,"Divers say Nicola Bulley is ""categorically not"" in the section of river where police think she fell."
Tyson Fury v Dillian Whyte: World champion 'not thinking about retirement',World heavyweight champion Tyson Fury says retirement is not on his mind ahead of his bout with Dillian Whyte.
Ukraine war: Kyiv Mayor Klitschko warns of evacuations if power lost,Millions of Ukrainians have intermittently lost electricity and water after Russian air strikes.
"Dog health: Don't buy a bulldog until breed is reshaped, vets plead",A study finds the English bulldog has double the health risks of other dogs.
Watch: Rapper Loyle Carner and Jamie Oliver talk food and confidence,"The musician tells Jamie Oliver, who is guest editing R4's Today, how cooking is a space for his neurodiversity."
Qatar 2022: Why are people protesting about the World Cup host?,World Cup host Qatar is receiving complaints over its human rights record and laws on homosexuality.
Women's Euro 2022: England and Germany fans arrive in Wembley,"England are one win away from their first major trophy, while Germany are eight-time champions."
World Cup 2022: How to take a penalty in a shootout,BBC Sport and Opta analyse the 279 World Cup shootout penalties to see the best ways to score your kick.
Rage Against the Machine pull out of Reading and Leeds festivals,"The US rock band cancel their European tour, including headline slots at Reading and Leeds."
Clarence House staff told jobs are at risk,"Redundancies are ""unavoidable"" following King Charles III's accession, a spokesman says."
The crash dummy aimed at protecting women drivers,Researchers in Sweden are close to completing an industry-first average female crash test dummy.
Heathrow Airport: Two planes in minor collision,The incident involving an Icelandair and Korean Air aircraft is being investigated.
Attacker clears would-be goal from team-mate off the line in Canadian Premier League,Watch the moment Valour FC's William Akio clears his own team-mate's would-be goal off the line during their Canadian Premier League game against HFX Wanderers.
French election: Macron and Le Pen clash in TV presidential debate,Emmanuel Macron and Marine Le Pen take part in an animated contest four days before the election.
Putin: West unlikely to reject Russian energy for years,Russian president says oil and gas profits are increasing thanks to rising energy prices.
Which businesses will close and stay open on day of Queen's funeral?,Here's an at-a-glance guide to what will be open and closed on bank holiday Monday.
Energy bill fears as winter looms on the edge of Scotland,Many people living in remote communities are concerned about the impact of rapidly rising prices.
BBC presenter who lost babies urges women to open up about miscarriages,"Kay Crewdson, who lost two babies to miscarriage, says she will ""talk about them as long as I live""."
Rupert Murdoch and Jerry Hall reportedly to divorce,"After six years of marriage, the media tycoon and model will divorce, US media reports."
The Papers: 'Tory in-fighting' and 'price to avoid world war',"Sunday's papers focus on calls for the Tory party to unite around the next PM, and the energy crisis."
Liverpool 1-1 Crystal Palace: Nunez red card costly in Anfield stalemate,Nunez's moment of headbutt madness shows short fuse he must cut out as Liverpool miss the mark.
"Cost of living: Rolls Royce staff to get £2,000 payment","More than 14,000 workers could get a one-off sum after firm holds talks with union."
Ukraine: Facing the Russian Army on the front line in Donbas,"Ukrainian forces have been holding the line in Donbas since 2014, but what was sporadic fighting has now turned into a full-blown war."
What is monkeypox and how do you catch it?,"Cases of monkeypox are being investigated in several countries, including the UK."
Cost of living: Young cancer patients 'in a desperate situation',Young people with cancer say they are struggling with rent and bills because of soaring living costs.
Rihanna to headline Super Bowl half-time show,"The nine-time Grammy winner will headline February's event in Arizona, the NFL has announced."
Actor Orlando Bloom meets children affected by Ukraine war and visits Zelensky,"The Lord of the Rings star, who is a goodwill ambassador for Unicef, also met President Zelensky."
Scottish spaceport's prototype rocket unveiled,The final version of the 19m-long Prime rocket is to be launched from a site in Sutherland.
Chancellor breaks pledge on energy bills,"Rishi Sunak said a £150 council tax rebate would be paid ""in April"" but guidance now says ""from April""."
Are Mar-a-Lago and other Trump-owned properties over-valued?,"A closer look at the former president's real estate, and allegations he lied about its value."
PFAS: Possible breakthrough to destroy harmful 'forever chemicals',US scientists have discovered a low-cost method for destroying chemicals associated with cancer.
Watch: Huge fireball engulfs church in New Jersey,A senior pastor at the Fountain of Life Center says it is a devastating loss for his community.
Buffalo shooting: NY probes 'bone-chilling' social media role,"Prosecutors will ask whether social platforms were ""used to stream, promote, or plan"" the murders."
Is Disney's magic spell wearing off?,"Under pressure to boost profit, Disney is doing what has worked for 100 years: rebooting the classics."
Cost of living: University students 'priced out' of graduation,"A cap and gown, photos and extra tickets can cost £145, before factoring in hotels and travel."
Birmingham's fall from Women's Super League high-flyers to relegation,Birmingham City were one of the founding members of the WSL so how have they fallen to the second tier?
World Cup 2022: Switzerland 1-0 Cameroon - Breel Embolo strike secures win,Switzerland's Cameroon-born Breel Embolo scores the only goal as they see off the Indomitable Lions in Group G at the Al Janoub Stadium in Qatar.
'I change how I look and talk to fit in at work',"Two thirds of women of colour in UK workplaces say they change themselves to fit in, a report says."
Bus driver charged with murder after ramming Quebec nursery,Two children were killed and six others were injured in the incident near Montreal on Wednesday.
‘I can’t forget her'- Myanmar’s soldiers admit atrocities,"Soldiers in the Myanmar military have admitted to killing, torturing and raping civilians."
Insulate Britain: Judge 'inspired' by activists after M25 protest,"Judge Stephen Leake fines a group of M25 activists but says their ""voices are certainly heard""."
Coco Gauff column: How TikTok and Jaden Smith help escape Australian Open pressure,"In her latest BBC Sport column, American seventh seed Coco Gauff talks about her TikTok moves and how her dad became a viral sensation."
Covid: UK first country to approve dual-strain vaccine,The bivalent vaccine will now form part of the booster campaign to be rolled out this autumn.
"Wimbledon: Ons Jabeur on post-final tears, Bob Marley and the runner-up trophy","In her BBC Sport column, Wimbledon runner-up Ons Jabeur talks about her post-final tears and using Bob Marley's positivity as inspiration."
Ulvade shooting: Kamala Harris calls for assault weapons ban,The US vice-president makes the plea as she attends the funeral of a victim of a mass shooting.
Bob Dylan apologises for machine-printed 'signatures',"The star charged $600 for ""hand-signed"" editions of his latest book, but all was not as it seemed."
Women's Six Nations: Emilie Boulard scores brilliant try for France against Italy,Watch as Emilie Boulard runs in a brilliant solo try as France beat Italy 39-6 in their opening game of the 2022 Women's Six Nations.
Phyllida Barlow: Renowned British sculptor dies aged 78,The Newcastle-born artist had a long career teaching art before her breakthrough.
Masters: Rory McIlroy 'as happy' as he's ever been after chipping in on 18th in stunning final round,"Rory McIlroy says his chip in on the 18th to equal the lowest final-round score in Masters history ""is as happy as he has ever been on a golf course""."
Iraq War: Ali Abbas lost both arms in the war,Ali Abbas's life changed forever after he lost both of his arms and most of his family in the war.
The high street shops thriving after a tough year,"It has been a tough year with more challenges to come, but some retailers are proving the fittest can survive."
Xi Jinping's party is just getting started,"China did not want another Mao, but the party did little to stop the rise of a more powerful leader."
Which countries are doing the most to tackle energy bills?,European countries have taken different approaching to higher energy bills.
Chris Mason: Boris Johnson's political future hangs in balance,"The verdict of MPs investigating Boris Johnson has the potential to finish him, writes the BBC's political editor."
Rugby World Cup: England keep their cool before 'biggest pool game',"On Saturday, England face France in one of the most challenging Rugby World Cup pool games there is."
Heat pumps: How do they work and how do I get one?,The government's grant support scheme for replacing gas boilers with heat pumps begins in April.
Timed Out - magazine issues final print edition after 54 years,The listings magazine was first launched as a newsletter by Tony Elliott on the King's Road in 1968.
Imran Khan: Pakistan police open investigation into former PM,Investigators say the former leader made threats against state officials following a political rally.
Liverpool 0-1 Real Madrid: Champions League defeat caps miserable end to magnificent season amid Paris chaos,Liverpool's magnificent season comes to a miserable conclusion in Paris amid stadium chaos and a lop-sided mixture of emotions.
Nikki Haley: Five things to know about White House hopeful,The former South Carolina governor is entering the presidential race and taking on Donald Trump.
Can the US live in Xi Jinping's world?,Mr Xi's vision is in stark contrast to what the West had hoped for from decades of trade and engagement.
Euro 2022: NI boss Kenny Shiels says they have 'created a monster' by growing too quickly,Northern Ireland manager Kenny Shiels says there is a need for realism when assessing his team's performances at Euro 2022.
Jeremy Hunt: Everyone will have to pay more tax,The chancellor also tells the BBC he wants to make sure any recession is as short and shallow as possible.
Falklands War: 'I thought I was the only one like this',The end of the Falklands War saw a gradual change in how we treat post-traumatic stress disorder.
Liz Truss's short and bumpy ride in 85 seconds,A look back at the prime ministers short time as leader of the UK.
The tech helping driverless cars see round corners,A trial in London used existing street cameras to help an autonomous car navigate city streets.
Fry-up breakfast costs 40p more than last year,"Supermarket food prices are rising at the fastest pace since 2009, says research firm Kantar."
Watch moment Australian police swoop on secret drugs flight,The plane carried 52kg of meth from PNG to Australia with flight monitoring switched off in an effort to avoid detection.
The video game prescribed by doctors to treat ADHD,A US game has got regulatory approval to help treat attention deficit hyperactivity disorder.
"Paying for the basics is pushing people into debt, charity says",Citizens Advice says homeowners and pensioners are among those increasingly seeking debt advice.
Media given access to family court hearings,"After decades of calls for greater scrutiny, journalists are to be allowed to report on proceedings."
China heatwave: Temperatures of 40C expected this weekend,"Some cities in Zhejiang province have been issued red alerts, the country's highest warning."
The moment police arrest pub shooting suspect,Police have released footage of a suspect's arrest over a pub shooting that killed Elle Edwards.
Belgorod: Fear and denial in Russian city hit by shells,Residents of Belgorod are divided on how to respond to Ukraine after the city was hit by explosions.
Council tax: What is it and how much is it rising?,Millions of households across the UK will see a sharp increase in council tax bills in April.
Nunez heads winner as Benfica beat Ajax to reach last eight,Darwin Nunez scores the winner as Benfica beat Ajax to reach the Champions League quarter-finals.
"Buyer backs out of £62,000 Mr Blobby suit purchase","After a whirlwind bidding war over an original costume of the TV character, the seller is let down."
Ten Hag warning for Garnacho after teenager stars in Man Utd win,Manchester United reach the Carabao Cup fourth round with an entertaining victory over Aston Villa at Old Trafford.
Climate change: First bill written by children on climate education,Teenagers say they want education that reflects how climate change will affect all parts of life.
Secret filming victim feels let down by courts,A woman who was filmed in the shower by a man who targeted 167 others says she has had no justice.
M&S: Store sorry for displaying daffodils alongside veg,"The flowers, which can be poisonous if eaten, were spotted on display alongside spring onions."
World Snooker Championship 2022: Ronnie O'Sullivan beats David Gilbert,World number one Ronnie O'Sullivan showcases his mettle by coming from behind to beat David Gilbert 10-5 at the World Championship in Sheffield.
Prince Harry: 'I want my father and brother back',"He also says ""they've shown absolutely no willingness to reconcile"", but it is not clear who he is referring to in the trailer."
Pakistan v England: Rehan Ahmed could make debut in Karachi,England are considering handing a debut to 18-year-old leg-spinner Rehan Ahmed in the third Test against Pakistan.
The woman who found a new life after being given six weeks to live,"In 2015, Andrea Sheardown was diagnosed with a rare liver cancer and given just six weeks to live."
The Papers: 'Red alert for Earth' and PM 'turns on the Sharm',Warnings from the COP27 summit and meetings between Rishi Sunak and other leaders lead the papers.
Cricket World Cup: England and Australia set for final,England will attempt to win a second successive Women's World Cup when they face Australia in Sunday's final.
Tiverton and Honiton by-election: What do voters think?,BBC News has been to speak to people in Tiverton and Honiton ahead of a by-election on Thursday.
PM Sunak welcomes 'valuable' talks with health leaders,Prime Minister Rishi Sunak met health leaders to discuss ways to tackle the pressures facing the NHS.
Macron says UK and France face problems if leaders unsure over friendship,"The French president warns of ""problems"" after Liz Truss doubted if he was ""friend or foe""."
EastEnders: Edwards' syndrome and the difficult choice for parents,EastEnders has shone a light on Edwards' syndrome - a rare genetic condition affecting babies.
Turkey earthquake rescue continues almost 150 hours on: 'You are a miracle',A seven-month-old baby and 12-year-old girl are among those pulled from the rubble.
Kardashian fined over crypto 'pump and dump',Kim Kardashian agrees to pay $1.26m after regulators charge her in EthereumMax case.
Netanyahu's hard-line new government takes office in Israel,There is concern about the plans of Benjamin Netanyahu and his far-right and religious allies.
England v South Africa: Hosts win first T20 to wrap up multi-format series,Katherine Brunt and Sophia Dunkley star as England win the first Twenty20 international against South Africa to wrap up the multi-format series.
Pitch-side brain scans aim to make sports safer,Brain-scanning technology is being used in the hope of finding ways to make contact sports safer.
Dinosaur tracks from 113m years ago exposed by severe drought,Around 60 tracks from the predator Acrocanthosaurus have been revealed for the first time in 22 years.
El Clasico: Real Madrid beat Barcelona 3-1 at Bernabeu,Clinical Real Madrid beat Barcelona in the 250th El Clasico to go top of La Liga and inflict their rivals' first league defeat of the season.
Man City v Man Utd: Erik ten Hag facing a derby dilemma - Danny Murphy analysis,MOTD2 pundit Danny Murphy says Manchester United manager Erik ten Hag has a big decision to make in midfield for Sunday's Manchester derby.
The Papers: 'Predators' join police and 'king of the bungle',Many papers focus on fury over Matt Hancock joining TV show I'm A Celebrity... Get Me Out Of Here!
Chantelle Cameron beats Jessica McCaskill to become the undisputed light-welterweight champion,Chantelle Cameron becomes the undisputed light-welterweight champion after a unanimous decision victory over Jessica McCaskill
"Ferrell should have had Oscar nomination for Elf, says Curtis",Screenwriter and director Richard Curtis says awards voters often overlook comedy and its actors.
Royal Mail workers to hold 19 days of strike action,"It will cover the Christmas build-up, including key shopping days Black Friday and Cyber Monday."
Tony Blair to join Queen's highest chivalry order at Windsor ceremony,The Duchess of Cornwall and Baroness Amos will also be installed in the royal Order of the Garter.
Uganda: The story your parents never told you,Young people ask their parents what happened 50 years ago when Asians were expelled from Uganda.
Rwanda asylum plan: UK ministers partially lose Rwanda secrecy bid,The High Court says some of the advice given to ministers must be disclosed as part of a major case.
Who will replace Boris Johnson?,Tory MPs are vying to become the next party leader and prime minister - but who are they?
Anne Frank betrayal book pulled after findings discredited,The book claimed to have discovered who betrayed Anne Frank and her family to the Nazis.
France's mustard shortage leaves sour taste,The price of the condiment is up 10% due to poor harvests and the impact of the war in Ukraine.
Grand National preview: Rachael Blackmore seeks Aintree double on Minella Times,"Trailblazing rider Rachael Blackmore, the first female jockey to triumph, is on 2021 victor Minella Times again in Saturday's big race at Aintree."
Shireen Abu Aqla: Violence at Al Jazeera reporter's funeral in Jerusalem,"Police with riot gear hit mourners, saying they were pelted with stones, as crowds carry her coffin."
I've had two children after being diagnosed with MND,Lucy Lintott was told she had the disease at the age of 19 - and warned she would never be able to have a family.
Euro 2024: Italy manager Mancini bemoans lack of Italian talent in Serie A,"Italy manager Roberto Mancini says he is ""worse off"" than England boss Gareth Southgate when it comes to selecting national players."
"Nicola Bulley: Man, 34, arrested over police scene footage",Man is held on suspicion of malicious communications offences and perverting the course of justice.
Mazepin & father added to list of wealthy Russians sanctioned by EU,Ex-Haas driver Nikita Mazepin and his father Dmitry are added to a list of Russians sanctioned over the invasion of Ukraine.
Labour MP Christian Matheson resigns over sexual misconduct,"Christian Matheson invited an ex-staff member on a ""sexually motivated"" trip abroad, a report says."
"England v India, third ODI: Pant hits five fours in a row to finish off England",Rishabh Pant smashes David Willey for five fours in a row as India beat England by five wickets.
Raducanu into Indian Wells third round with win over Garcia,"Emma Raducanu gets past Caroline Garcia, while fellow Brit Harriet Dart overcomes Elina Svitolina to reach the third round at Indian Wells."
Thames Water plans to introduce hosepipe ban 'in weeks',"The firm plans to bring in restrictions for 15 million customers ""in the coming weeks""."
"Akon’s Wakanda, grazing goats and a crumbling crypto dream",RnB singer Akon is planning a Senegalese super-city running on cryptocurrency. But will it happen?
Rory McIlroy in share of lead before Canadian Open final round,Rory McIlroy puts himself in a strong position to defend his Canadian Open title as a five under 65 moves him into a share of the lead heading into the final round.
COP27: What is the Egypt climate conference and why is it important?,This year's climate summit comes amid spiralling energy costs and diplomatic tensions.
Woman given eight-year jail term for false rape claims,"The judge said Eleanor Williams' claims she was trafficked by an Asian gang were ""complete fiction""."
In pictures: Flooding across UK this week after heavy rain,"Heavy rainfall this week has caused flooding across parts of England, Scotland and Wales."
On the front line of the battle for Kharkiv,Quentin Sommerville and cameraman Darren Conway are with Ukrainian forces fighting to stop the Russian advance on the country's second city.
Platinum Jubilee: Eight new cities created in Queen's honour,Locations in all four UK nations and on the Falkland Islands and Isle of Man will get city status.
UK Athletics Championships: Jeremiah Azu and Daryll Neita take 100m gold,Jeremiah Azu and Daryll Neita take gold in the men's and women's 100m finals on day two at the UK Athletics Championships in Manchester.
"Brothers, 12 and 13, wanted for raiding top London hotels","A warrant for the pair, who are accused of burgling Claridges and the Four Seasons, is issued."
Why chicken is getting more and more expensive,We follow a chicken from farm to supermarket shelf to see how costs are building up at every stage.
Five ways to save money on train tickets,"As rail fares increase, we find the ways passengers can keep journeys as cheap as possible."
Women's World Cup play-off: Wales 1-0 Bosnia-Herzegovina,A fabulous volley in extra time from Jess Fishlock sees Wales overcome stubborn resistance from Bosnia-Herzegovina in the Welsh capital and reach the World Cup play-off final.
Ratcliffe and Sheikh Jassim to submit new Man Utd bids,Ineos owner Sir Jim Ratcliffe and Qatari banker Sheikh Jassim will submit improved bids to buy Manchester United after the deadline was extended.
Turkey-Syria earthquake: First aid convoy reaches opposition-held Idlib,Vital UN deliveries to the opposition-held region were halted for four days due to road damage.
"Mobile phone fraud: 'They stole £22,500 using my banking app'","Banks are being caught off guard by the growing threat of mobile phone fraud, says charity the Fraud Advisory Panel."
What Covid tests do I still need to travel abroad?,"From Friday, fully vaccinated people travelling to the UK no longer have to take any Covid tests."
Strike rules: What are they and who is allowed to strike?,What are the rules on striking and do you have to be a trade union member to take part?
'Our mortgage got so high we put off having a baby',Homeowners tell the BBC they are being hit harder by rising mortgage rates than soaring fuel and food bills.
What is the transgender prisoners row all about?,A transgender woman is facing a prison term for rape - but where should she serve her sentence?
Can Vladimir Putin actually be arrested?,BBC correspondents Anna Holligan and Steve Rosenberg on the difficulties of detaining a president.
Train drivers offered pay rise in bid to end strikes,"The Rail Delivery Group says its offer would see wages for drivers rise by £5,000 by the end of 2023."
'I adopt wobbly cats',A woman who adopts disabled cats wants more people to consider adopting.
Cost of living has made my university flat hostile,Welsh students say rising bills and inflation is leading to awkward conversations with housemates.
Labour calls vote to give MPs power to appoint new ethics chief,"It comes after Lord Geidt quit last week, saying the PM forced him into an ""impossible and odious"" position."
Comic Relief returns with The Traitors and Eurovision sketches,This year's event will support people struggling with the cost of living crisis and food poverty.
The 'meditative magic' of watching people pay respects,The live-stream has become an unexpected hit on iPlayer. What's behind the viewing figures?
Indian Wells: Emma Raducanu beats Danka Kovinic as Jack Draper sets up Dan Evans clash,British pair Emma Raducanu and Jack Draper put injury-disrupted build-ups behind them to earn first-round wins at the prestigious Indian Wells event.
"Commonwealth Games: Watch opening ceremony best bits including Duran Duran, Lenny Henry & Tom Daley","Watch the best bits from an entertainment-packed 2022 Commonwealth Games opening ceremony in Birmingham featuring royalty, an athlete parade, a giant bull and live music from Duran Duran."
Jacky Hunt-Broersma: The cancer survivor who ran 104 marathons in 104 days,"Jacky Hunt-Broersma, who lost her leg to cancer, set an unofficial record for consecutive marathons."
Bafta TV Awards: Eight highlights from the ceremony,From Ant and Dec's pranks on celebrities to Mo Gilligan's hunt for the perfect kitchen island.
West Ham United 1-2 Eintracht Frankfurt: Hammers trail after first leg,West Ham must win in Germany to reach the Europa League final after defeat by Eintracht Frankfurt in the semi-final first leg at London Stadium.
Brentford hit four to humiliate Man Utd,Brentford produce a stunning first-half performance as they score four goals in the first 35 minutes to condemn Manchester United to a humiliating defeat.
Energy bills: What do I do if I can't pay?,Charities warn against not paying for energy bills as a campaign to refuse to pay builds.
Could Ukraine 'win' the war? And other questions,BBC reporters Jenny Hill and Orla Guerin - on the ground - answer your questions about the war in Ukraine.
"Ukraine war: Russia attacks theatre sheltering civilians, Mariupol says","The building in the besieged city of Mariupol was sheltering up to 1,200 people, the deputy mayor says."
Pride in London: Celebrating the 50th anniversary of the UK's first Pride parade,"More than a million people packed London for Pride's 50th anniversary, the mayor's office says."
John Lewis: Mary Portas warns retailer it has 'let go' of its soul,"In an open letter the retail consultant says the store is ""part of our collective cultural identity""."
"Angelina Jolie visits cafe in Lviv, Ukraine",Hollywood A-lister Angelina Jolie was spotted in a cafe during a trip to Ukraine to meet the child victims of the war.
World Cup 2022: Morocco dream over as they are beaten France in semi-final,"The World Cup dream is over for Morocco but there is no sadness, just sheer pride at their country's historic performance."
Colombia election: Surprise election run-off beckons,An ex-rebel and a magnate likened to Donald Trump lead the first round of the presidential election.
Watford 1-0 Sheffield United: Hornets give Rob Edwards winning start as manager,Watford manager Rob Edwards makes a winning start as Joao Pedro's goal gives them a home win over Sheffield United.
Match of the Day 2 analysis: Manchester United's 'shocking' display,"Match of the Day 2 pundit Jermaine Jenas analyses Manchester United's ""shocking"" display in their 6-3 Premier League derby defeat at Manchester City."
'We can't afford to give away Christmas cake this year',"As food price inflation soars, front-line charities say they may have to cut down on vital services."
Ancient Egyptian 'Green Coffin' returned to Cairo by US,The brightly painted wooden sarcophagus was smuggled to the US by a global art trafficking network.
Lauren Price: Welsh Olympic champion wins on professional boxing debut at Wembley Arena,Wales' Olympic champion Lauren Price makes a winning start to her professional career with an impressive victory over Valgerdur Gudstensdottir.
"Inside Amapiano, the new sound of South Africa","In Zulu, Amapiano literally means “the pianos” and it's a blend of house, kwaito, jazz, and lounge music."
"Måneskin 'wanted to show the dark side of fame' on their new album, Rush","""Ignoring it won't make it go away,"" say the band, whose lyrics tackle sex, cocaine and depression."
Bordeaux town hall set on fire in France pension protests,Fire engulfs the building's front as violence flares in several cities during pension reform protests.
Bao Fan: Why do Chinese billionaires keep vanishing?,The mystery over the latest missing business leader comes as Xi Jinping tightens his grip on China.
Rohingya crisis: Has the world forgotten the stateless refugees?,"Five years after millions of Rohingyas fled genocide in Myanmar, they continue to live in perilous conditions."
Nicola Bulley: Body found in river confirmed as that of missing mum,The mother-of-two's body was discovered about a mile away from where she was last seen.
Buffalo shooting: Parents of injured victim demand political action,The parents of one Buffalo victim want to know what's being done to prevent another mass shooting.
Joey Barton cleared of assaulting his wife Georgia,"The Bristol Rovers manager would be unable to have a fair trial, a judge ruled."
"Energy discount phishing: Robbed of £25,000 in text scam",Victim support groups warn that scams targeting those looking to save money have soared.
Call for probe into claim BBC chair helped ex-PM secure loan,"The BBC chairman helped him secure a loan guarantee weeks before the then-PM recommended him for the role, a paper says."
Ros Atkins on… PM’s lockdown party fine,"Boris Johnson has been fined for attending a birthday party, thrown for him during a Covid lockdown."
The Hundred: Shaheen Afridi joins Welsh Fire as Kate Cross moves to Northern Superchargers,Pakistan bowler Shaheen Afridi is picked by Welsh Fire and England bowler Kate Cross moves to Northern Superchargers in The Hundred draft.
World Cup 2022: Why norms LGBTQ+ football fans took for granted have been shaken,Many LGBTQ+ fans and allies feel let down by the authorities after experiencing discrimination at the World Cup in Qatar - and the BBC's Jack Murley believes that will be the tournament's true legacy.
Wagatha Christie: Six takeaways from the Vardy and Rooney trial,"Six takeaways from the High Court libel trial, which has sparked huge media interest in recent weeks."
Queen's funeral guests: Who will - and who won't - attend,Here's what we know so far about who will and will not attend this historic event.
Lucy Porter: TikTok won't kill stand-up comedy but petrol prices and train fares will,"The comedian says if she was starting out now, she would struggle to afford travel and rent."
More head teachers quitting within five years of taking jobs in England,"One ex-head of a school in Derby said the 100-hour weeks made it the ""loneliest job I've ever done""."
Jake Wightman could be most successful ever - Coe,"Jake Wightman could be the ""most successful British middle distance runner we ever had"", says former Olympic 1500m champion Lord Coe."
SNP candidates predict independence in five years,"Ash Regan, Humza Yousaf and Kate Forbes were speaking as they faced each other in a BBC Scotland TV debate."
Disabled to get cost of living £150 from September,"Up to six million people with extra costs will receive the additional cash sum, amid rising prices."
The twin flying to support sister despite selection heartbreak,"Prop Bryony Cleall says she felt she had let her ""nearest and dearest"" down when she did not make the England World Cup squad."
'I was homeless - now dozens join my Christmas hikes',Damon Alexander-Cole became homeless in 2020 and found that walking helped him to rebuild his life.
UK defies climate warnings with new oil and gas licences,More than 100 licences are expected to be granted for new fossil fuel exploration in the North Sea.
Manchester United 3-1 Everton: Marcus Rashford shines as Man Utd beat Everton in FA Cup,Manchester United move into round four of the FA Cup thanks to a hard-fought victory over Everton at Old Trafford.
The Papers: Foreign workers drive and Lilibet becomes princess,Plans to attract workers from abroad and the christening of the Sussexes' daughter lead the papers.
The Papers: 'Travel carnage worsens' and PM fuels Tory anger,"Airport cuts put holidays at risk, and Boris Johnson facing leadership challenges, lead the papers."
Twitter: Why Elon Musk has been so keen on taking control,The billionaire has called for a series of changes from relaxing Twitter's content restrictions to eradicating fake accounts.
Iranian women who need certificates to prove they are virgins,"In Iran, many women face medical virginity tests before they marry, but some are now pushing back."
Ukraine war: World must act now to stop Russia nuclear threat - Zelensky,"Ukraine's president tells the BBC ""they are not ready to do it... But they begin to communicate""."
Nations League: Wout Weghorst denies Wales a draw with late header for Netherlands,The Netherlands spoil Wales' World Cup qualification party with a late 2-1 Nations League victory in Cardiff.
"If I go back to Iran, my husband will kill me",Human rights activists say the number of reported so-called 'honour killings' in Iran is rising
"Earth, Wind & Fire drummer Fred White dies aged 67",Child drumming prodigy White was one of the early members of the band with several of his brothers.
Why does Northern Ireland need its own deal?,The Brexit deal for Northern Ireland has been a source of political tension.
Everton 1-1 Tottenham: Michael Keane stunner cancels out Harry Kane penalty,Michael Keane scores a stunning long-range strike to salvage a Premier League draw for Everton against Tottenham in a game that saw both sides finish with 10 men.
Rishi Sunak bows to Tory revolt over internet safety law,"Tech bosses could face jail time for failing to protect children online, after a backbench rebellion."
Ghislaine Maxwell appeals against sex trafficking conviction,Ghislaine Maxwell formally filed her appeal nine days after her conviction for child sex trafficking.
The singer who changed one word in Canada's anthem,Singer Jully Black has gotten a lot of reaction for her rendition of O Canada at an NBA game.
Peace message: Gareth Bale joins children of Wales for centenary year,"Hillary Clinton and Catherine Zeta-Jones have shared it, and Gareth Bale is involved this year."
Covid in China: WHO calls on Beijing to strengthen its response,"As the disease surges in China, the global health agency tells Chinese officials it needs to see more data on its spread."
Coleen Rooney: My online post was a last resort,"Mrs Rooney appeared in the witness box on day four of the libel case, brought by Rebekah Vardy."
Why has Russia invaded Ukraine and what does Putin want?,"More than two months after Russia's leader unleashed war on Ukraine, there is no sign yet of when it will end."
"Rae Morris: 'I was definitely, fully dropped'",The left-field singer couldn't listen to music after her label dumped her. Here's how she recovered.
General Election: When is the next one and could it be called sooner?,The decision to hold an early election usually rests with the prime minister.
MLB: Texas Rangers' Eli White makes 'outrageous' catch to stop home run against Tampa Bay Rays,Watch as Eli White makes an incredible catch to prevent a home run during Texas Rangers' 3-0 win over Tampa Bay Rays.
Ukraine conflict: Oil price soars to highest level since 2008,Consumers are feeling the impact of higher energy costs as fuel prices and household bills jump.
'Why I cut homeless people's hair for free',"Wisdom Oviawe, 22, has been offering his services to homeless people in Nottingham city centre."
Nicola Sturgeon: Search begins to find successor,"After eight years as first minister, Ms Sturgeon says her head and her heart say it is the right time to go."
My Job: 'I like breaking the prison officer stereotype',"Mica has been working at HMP Portland in Dorset, which houses over 500 prisoners, for five years."
World Cup: England fans frustrated after disappointing USA match,The atmosphere was muted after fans took the day off work for what turned into a frustrating game.
'The pinnacle of the quiz night',The news comes a year after he revealed he had been diagnosed with Parkinson's disease.
Airlines told to cancel flights to stop travel chaos,Ministers says airlines must ensure summer schedules are deliverable to prevent more travel disruption.
Introducing... Dr Ringo Starr,The Beatles drummer receives an honorary doctorate from the Berklee Academy of Music in Boston.
Kherson: Inside the city liberated from the Russians,The BBC's Jeremy Bowen reports from the city newly liberated from Russian control.
Roe v Wade: What is US Supreme Court ruling on abortion?,The US Supreme Court has overturned the landmark case which legalised abortion in 1973.
Tyre Nichols: Ex-officers plead not guilty over his death,A judge confirms the five defendants are pleading not guilty to charges including murder and assault.
'Bring me his head' - the spy sent to get Bin Laden,"Gary Schroen, one of the first Americans on the ground in Afghanistan after 9/11, has died aged 80."
Just Stop Oil: More than 200 arrested after oil terminal protests,Protests at several sites around the Midlands and south of England enter a third day.
Will Gadd: An ice climber's close-up view of climate change,"Ice is the glue that holds Will Gadd's sport together. As the world heats up, it is falling apart."
Wimbledon 2022: Should Stefanos Tsitsipas have been disqualified for this?,Watch the controversial moment Greece's Stefanos Tsitsipas hits a ball into the crowd and the angry reaction from Nick Kyrgios as he argues that the fourth seed should have been disqualified.
'Rare condition gives me TV static in my vision',A 19-year-old from South Lanarkshire has a little known condition which constantly affects her vision.
